"t" "s"
"1" 1 0.02
"2" 2 0.02
"3" 3 0.02
"4" 4 0.02
"5" 5 0.02
"6" 6 0.02
"7" 7 0.02
"8" 8 0.02
"9" 9 0.02
"10" 10 0.02
"11" 11 0.02
"12" 12 0.02
"13" 13 0.02
"14" 14 0.02
"15" 15 0.02
"16" 16 0.02
"17" 17 0.02
"18" 18 0.02
"19" 19 0.02
"20" 20 0.02
"21" 21 0.02
"22" 22 0.02
"23" 23 0.02
"24" 24 0.02
"25" 25 0.02
"26" 26 0.02
"27" 27 0.02
"28" 28 0.02
"29" 29 0.02
"30" 30 0.02
"31" 31 0.02
"32" 32 0.02
"33" 33 0.02
"34" 34 0.02
"35" 35 0.02
"36" 36 0.02
"37" 37 0.02
"38" 38 0.02
"39" 39 0.02
"40" 40 0.02
"41" 41 0.02
"42" 42 0.02
"43" 43 0.02
"44" 44 0.02
"45" 45 0.02
"46" 46 0.02
"47" 47 0.02
"48" 48 0.02
"49" 49 0.02
"50" 50 0.02
"51" 51 -0.02
"52" 52 -0.02
"53" 53 -0.02
"54" 54 -0.02
"55" 55 -0.02
"56" 56 -0.02
"57" 57 -0.02
"58" 58 -0.02
"59" 59 -0.02
"60" 60 -0.02
"61" 61 -0.02
"62" 62 -0.02
"63" 63 -0.02
"64" 64 -0.02
"65" 65 -0.02
"66" 66 -0.02
"67" 67 -0.02
"68" 68 -0.02
"69" 69 -0.02
"70" 70 -0.02
"71" 71 -0.02
"72" 72 -0.02
"73" 73 -0.02
"74" 74 -0.02
"75" 75 -0.02
"76" 76 -0.02
"77" 77 -0.02
"78" 78 -0.02
"79" 79 -0.02
"80" 80 -0.02
"81" 81 -0.02
"82" 82 -0.02
"83" 83 -0.02
"84" 84 -0.02
"85" 85 -0.02
"86" 86 -0.02
"87" 87 -0.02
"88" 88 -0.02
"89" 89 -0.02
"90" 90 -0.02
"91" 91 -0.02
"92" 92 -0.02
"93" 93 -0.02
"94" 94 -0.02
"95" 95 -0.02
"96" 96 -0.02
"97" 97 -0.02
"98" 98 -0.02
"99" 99 -0.02
"100" 100 -0.02
"101" 101 0
"102" 102 0
"103" 103 0
"104" 104 0
"105" 105 0
"106" 106 0
"107" 107 0
"108" 108 0
"109" 109 0
"110" 110 0
"111" 111 0
"112" 112 0
"113" 113 0
"114" 114 0
"115" 115 0
"116" 116 0
"117" 117 0
"118" 118 0
"119" 119 0
"120" 120 0
"121" 121 0
"122" 122 0
"123" 123 0
"124" 124 0
"125" 125 0
"126" 126 0
"127" 127 0
"128" 128 0
"129" 129 0
"130" 130 0
"131" 131 0
"132" 132 0
"133" 133 0
"134" 134 0
"135" 135 0
"136" 136 0
"137" 137 0
"138" 138 0
"139" 139 0
"140" 140 0
"141" 141 0
"142" 142 0
"143" 143 0
"144" 144 0
"145" 145 0
"146" 146 0
"147" 147 0
"148" 148 0
"149" 149 0
"150" 150 0
"151" 151 0.02
"152" 152 0.02
"153" 153 0.02
"154" 154 0.02
"155" 155 0.02
"156" 156 0.02
"157" 157 0.02
"158" 158 0.02
"159" 159 0.02
"160" 160 0.02
"161" 161 0.02
"162" 162 0.02
"163" 163 0.02
"164" 164 0.02
"165" 165 0.02
"166" 166 0.02
"167" 167 0.02
"168" 168 0.02
"169" 169 0.02
"170" 170 0.02
"171" 171 0.02
"172" 172 0.02
"173" 173 0.02
"174" 174 0.02
"175" 175 0.02
"176" 176 0.02
"177" 177 0.02
"178" 178 0.02
"179" 179 0.02
"180" 180 0.02
"181" 181 0.02
"182" 182 0.02
"183" 183 0.02
"184" 184 0.02
"185" 185 0.02
"186" 186 0.02
"187" 187 0.02
"188" 188 0.02
"189" 189 0.02
"190" 190 0.02
"191" 191 0.02
"192" 192 0.02
"193" 193 0.02
"194" 194 0.02
"195" 195 0.02
"196" 196 0.02
"197" 197 0.02
"198" 198 0.02
"199" 199 0.02
"200" 200 0.02
