t	n	a	init_freq	Ne	s	freq
1	100	9	0.1	10000	0.02	0.1061
2	0	0	0.1	10000	0.02	0.1096
3	0	0	0.1	10000	0.02	0.1097
4	0	0	0.1	10000	0.02	0.1089
5	0	0	0.1	10000	0.02	0.109
6	0	0	0.1	10000	0.02	0.1153
7	0	0	0.1	10000	0.02	0.1194
8	0	0	0.1	10000	0.02	0.1227
9	0	0	0.1	10000	0.02	0.1277
10	100	14	0.1	10000	0.02	0.1241
11	0	0	0.1	10000	0.02	0.1179
12	0	0	0.1	10000	0.02	0.1171
13	0	0	0.1	10000	0.02	0.1166
14	0	0	0.1	10000	0.02	0.1181
15	0	0	0.1	10000	0.02	0.1244
16	0	0	0.1	10000	0.02	0.1284
17	0	0	0.1	10000	0.02	0.1274
18	0	0	0.1	10000	0.02	0.1314
19	0	0	0.1	10000	0.02	0.1362
20	100	17	0.1	10000	0.02	0.1345
21	0	0	0.1	10000	0.02	0.1359
22	0	0	0.1	10000	0.02	0.1431
23	0	0	0.1	10000	0.02	0.1507
24	0	0	0.1	10000	0.02	0.1503
25	0	0	0.1	10000	0.02	0.1481
26	0	0	0.1	10000	0.02	0.1463
27	0	0	0.1	10000	0.02	0.1472
28	0	0	0.1	10000	0.02	0.1514
29	0	0	0.1	10000	0.02	0.1572
30	100	21	0.1	10000	0.02	0.1614
31	0	0	0.1	10000	0.02	0.1654
32	0	0	0.1	10000	0.02	0.1622
33	0	0	0.1	10000	0.02	0.1613
34	0	0	0.1	10000	0.02	0.1649
35	0	0	0.1	10000	0.02	0.1722
36	0	0	0.1	10000	0.02	0.171
37	0	0	0.1	10000	0.02	0.1743
38	0	0	0.1	10000	0.02	0.1757
39	0	0	0.1	10000	0.02	0.1841
40	100	7	0.1	10000	0.02	0.183
41	0	0	0.1	10000	0.02	0.1854
42	0	0	0.1	10000	0.02	0.1909
43	0	0	0.1	10000	0.02	0.1907
44	0	0	0.1	10000	0.02	0.1855
45	0	0	0.1	10000	0.02	0.1817
46	0	0	0.1	10000	0.02	0.181
47	0	0	0.1	10000	0.02	0.1847
48	0	0	0.1	10000	0.02	0.1855
49	0	0	0.1	10000	0.02	0.1895
50	100	21	0.1	10000	0.02	0.1904
51	0	0	0.1	10000	0.02	0.1911
52	0	0	0.1	10000	0.02	0.191
53	0	0	0.1	10000	0.02	0.1871
54	0	0	0.1	10000	0.02	0.1959
55	0	0	0.1	10000	0.02	0.2059
56	0	0	0.1	10000	0.02	0.2075
57	0	0	0.1	10000	0.02	0.2015
58	0	0	0.1	10000	0.02	0.1977
59	0	0	0.1	10000	0.02	0.2054
60	100	27	0.1	10000	0.02	0.2088
61	0	0	0.1	10000	0.02	0.209
62	0	0	0.1	10000	0.02	0.2179
63	0	0	0.1	10000	0.02	0.2249
64	0	0	0.1	10000	0.02	0.2303
65	0	0	0.1	10000	0.02	0.2352
66	0	0	0.1	10000	0.02	0.2396
67	0	0	0.1	10000	0.02	0.2396
68	0	0	0.1	10000	0.02	0.2516
69	0	0	0.1	10000	0.02	0.2515
70	100	19	0.1	10000	0.02	0.2583
71	0	0	0.1	10000	0.02	0.2678
72	0	0	0.1	10000	0.02	0.2678
73	0	0	0.1	10000	0.02	0.272
74	0	0	0.1	10000	0.02	0.2796
75	0	0	0.1	10000	0.02	0.2771
76	0	0	0.1	10000	0.02	0.2826
77	0	0	0.1	10000	0.02	0.2872
78	0	0	0.1	10000	0.02	0.2964
79	0	0	0.1	10000	0.02	0.2993
80	100	28	0.1	10000	0.02	0.3024
81	0	0	0.1	10000	0.02	0.304
82	0	0	0.1	10000	0.02	0.3126
83	0	0	0.1	10000	0.02	0.3217
84	0	0	0.1	10000	0.02	0.3277
85	0	0	0.1	10000	0.02	0.3274
86	0	0	0.1	10000	0.02	0.3318
87	0	0	0.1	10000	0.02	0.3372
88	0	0	0.1	10000	0.02	0.3456
89	0	0	0.1	10000	0.02	0.348
90	100	31	0.1	10000	0.02	0.3525
91	0	0	0.1	10000	0.02	0.3559
92	0	0	0.1	10000	0.02	0.3585
93	0	0	0.1	10000	0.02	0.3563
94	0	0	0.1	10000	0.02	0.3588
95	0	0	0.1	10000	0.02	0.3673
96	0	0	0.1	10000	0.02	0.3729
97	0	0	0.1	10000	0.02	0.376
98	0	0	0.1	10000	0.02	0.3825
99	0	0	0.1	10000	0.02	0.3922
100	100	48	0.1	10000	0.02	0.3976
101	0	0	0.1	10000	0	0.4032
102	0	0	0.1	10000	0	0.4008
103	0	0	0.1	10000	0	0.3997
104	0	0	0.1	10000	0	0.4002
105	0	0	0.1	10000	0	0.3956
106	0	0	0.1	10000	0	0.4042
107	0	0	0.1	10000	0	0.4048
108	0	0	0.1	10000	0	0.4038
109	0	0	0.1	10000	0	0.4028
110	100	36	0.1	10000	0	0.4028
111	0	0	0.1	10000	0	0.4018
112	0	0	0.1	10000	0	0.3947
113	0	0	0.1	10000	0	0.3964
114	0	0	0.1	10000	0	0.3984
115	0	0	0.1	10000	0	0.4039
116	0	0	0.1	10000	0	0.4051
117	0	0	0.1	10000	0	0.4024
118	0	0	0.1	10000	0	0.3974
119	0	0	0.1	10000	0	0.3905
120	100	38	0.1	10000	0	0.3987
121	0	0	0.1	10000	0	0.3903
122	0	0	0.1	10000	0	0.3908
123	0	0	0.1	10000	0	0.3858
124	0	0	0.1	10000	0	0.3816
125	0	0	0.1	10000	0	0.3801
126	0	0	0.1	10000	0	0.3817
127	0	0	0.1	10000	0	0.3742
128	0	0	0.1	10000	0	0.3701
129	0	0	0.1	10000	0	0.3705
130	100	29	0.1	10000	0	0.3727
131	0	0	0.1	10000	0	0.374
132	0	0	0.1	10000	0	0.3709
133	0	0	0.1	10000	0	0.373
134	0	0	0.1	10000	0	0.3669
135	0	0	0.1	10000	0	0.3601
136	0	0	0.1	10000	0	0.3582
137	0	0	0.1	10000	0	0.3635
138	0	0	0.1	10000	0	0.3631
139	0	0	0.1	10000	0	0.3566
140	100	32	0.1	10000	0	0.3539
141	0	0	0.1	10000	0	0.3539
142	0	0	0.1	10000	0	0.3557
143	0	0	0.1	10000	0	0.357
144	0	0	0.1	10000	0	0.3537
145	0	0	0.1	10000	0	0.3545
146	0	0	0.1	10000	0	0.3556
147	0	0	0.1	10000	0	0.3578
148	0	0	0.1	10000	0	0.3533
149	0	0	0.1	10000	0	0.3561
150	100	34	0.1	10000	0	0.3589
151	0	0	0.1	10000	-0.02	0.3471
152	0	0	0.1	10000	-0.02	0.334
153	0	0	0.1	10000	-0.02	0.3241
154	0	0	0.1	10000	-0.02	0.3227
155	0	0	0.1	10000	-0.02	0.3244
156	0	0	0.1	10000	-0.02	0.3233
157	0	0	0.1	10000	-0.02	0.317
158	0	0	0.1	10000	-0.02	0.3225
159	0	0	0.1	10000	-0.02	0.3125
160	100	29	0.1	10000	-0.02	0.3035
161	0	0	0.1	10000	-0.02	0.2997
162	0	0	0.1	10000	-0.02	0.297
163	0	0	0.1	10000	-0.02	0.2876
164	0	0	0.1	10000	-0.02	0.2832
165	0	0	0.1	10000	-0.02	0.2734
166	0	0	0.1	10000	-0.02	0.2759
167	0	0	0.1	10000	-0.02	0.2746
168	0	0	0.1	10000	-0.02	0.2771
169	0	0	0.1	10000	-0.02	0.2775
170	100	15	0.1	10000	-0.02	0.2658
171	0	0	0.1	10000	-0.02	0.2615
172	0	0	0.1	10000	-0.02	0.2601
173	0	0	0.1	10000	-0.02	0.2545
174	0	0	0.1	10000	-0.02	0.2439
175	0	0	0.1	10000	-0.02	0.2468
176	0	0	0.1	10000	-0.02	0.2422
177	0	0	0.1	10000	-0.02	0.2356
178	0	0	0.1	10000	-0.02	0.2348
179	0	0	0.1	10000	-0.02	0.2395
180	100	18	0.1	10000	-0.02	0.2296
181	0	0	0.1	10000	-0.02	0.2167
182	0	0	0.1	10000	-0.02	0.2056
183	0	0	0.1	10000	-0.02	0.2003
184	0	0	0.1	10000	-0.02	0.2018
185	0	0	0.1	10000	-0.02	0.2002
186	0	0	0.1	10000	-0.02	0.1969
187	0	0	0.1	10000	-0.02	0.1933
188	0	0	0.1	10000	-0.02	0.188
189	0	0	0.1	10000	-0.02	0.1824
190	100	14	0.1	10000	-0.02	0.1863
191	0	0	0.1	10000	-0.02	0.1814
192	0	0	0.1	10000	-0.02	0.1825
193	0	0	0.1	10000	-0.02	0.183
194	0	0	0.1	10000	-0.02	0.1821
