t	freq	init_freq	Ne	s
1	0.1061	0.1	10000	0.02
2	0.1096	0.1	10000	0.02
3	0.1097	0.1	10000	0.02
4	0.1089	0.1	10000	0.02
5	0.109	0.1	10000	0.02
6	0.1153	0.1	10000	0.02
7	0.1194	0.1	10000	0.02
8	0.1227	0.1	10000	0.02
9	0.1277	0.1	10000	0.02
10	0.1241	0.1	10000	0.02
11	0.1179	0.1	10000	0.02
12	0.1171	0.1	10000	0.02
13	0.1166	0.1	10000	0.02
14	0.1181	0.1	10000	0.02
15	0.1244	0.1	10000	0.02
16	0.1284	0.1	10000	0.02
17	0.1274	0.1	10000	0.02
18	0.1314	0.1	10000	0.02
19	0.1362	0.1	10000	0.02
20	0.1345	0.1	10000	0.02
21	0.1359	0.1	10000	0.02
22	0.1431	0.1	10000	0.02
23	0.1507	0.1	10000	0.02
24	0.1503	0.1	10000	0.02
25	0.1481	0.1	10000	0.02
26	0.1463	0.1	10000	0.02
27	0.1472	0.1	10000	0.02
28	0.1514	0.1	10000	0.02
29	0.1572	0.1	10000	0.02
30	0.1614	0.1	10000	0.02
31	0.1654	0.1	10000	0.02
32	0.1622	0.1	10000	0.02
33	0.1613	0.1	10000	0.02
34	0.1649	0.1	10000	0.02
35	0.1722	0.1	10000	0.02
36	0.171	0.1	10000	0.02
37	0.1743	0.1	10000	0.02
38	0.1757	0.1	10000	0.02
39	0.1841	0.1	10000	0.02
40	0.183	0.1	10000	0.02
41	0.1854	0.1	10000	0.02
42	0.1909	0.1	10000	0.02
43	0.1907	0.1	10000	0.02
44	0.1855	0.1	10000	0.02
45	0.1817	0.1	10000	0.02
46	0.181	0.1	10000	0.02
47	0.1847	0.1	10000	0.02
48	0.1855	0.1	10000	0.02
49	0.1895	0.1	10000	0.02
50	0.1904	0.1	10000	0.02
51	0.1911	0.1	10000	0.02
52	0.191	0.1	10000	0.02
53	0.1871	0.1	10000	0.02
54	0.1959	0.1	10000	0.02
55	0.2059	0.1	10000	0.02
56	0.2075	0.1	10000	0.02
57	0.2015	0.1	10000	0.02
58	0.1977	0.1	10000	0.02
59	0.2054	0.1	10000	0.02
60	0.2088	0.1	10000	0.02
61	0.209	0.1	10000	0.02
62	0.2179	0.1	10000	0.02
63	0.2249	0.1	10000	0.02
64	0.2303	0.1	10000	0.02
65	0.2352	0.1	10000	0.02
66	0.2396	0.1	10000	0.02
67	0.2396	0.1	10000	0.02
68	0.2516	0.1	10000	0.02
69	0.2515	0.1	10000	0.02
70	0.2583	0.1	10000	0.02
71	0.2678	0.1	10000	0.02
72	0.2678	0.1	10000	0.02
73	0.272	0.1	10000	0.02
74	0.2796	0.1	10000	0.02
75	0.2771	0.1	10000	0.02
76	0.2826	0.1	10000	0.02
77	0.2872	0.1	10000	0.02
78	0.2964	0.1	10000	0.02
79	0.2993	0.1	10000	0.02
80	0.3024	0.1	10000	0.02
81	0.304	0.1	10000	0.02
82	0.3126	0.1	10000	0.02
83	0.3217	0.1	10000	0.02
84	0.3277	0.1	10000	0.02
85	0.3274	0.1	10000	0.02
86	0.3318	0.1	10000	0.02
87	0.3372	0.1	10000	0.02
88	0.3456	0.1	10000	0.02
89	0.348	0.1	10000	0.02
90	0.3525	0.1	10000	0.02
91	0.3559	0.1	10000	0.02
92	0.3585	0.1	10000	0.02
93	0.3563	0.1	10000	0.02
94	0.3588	0.1	10000	0.02
95	0.3673	0.1	10000	0.02
96	0.3729	0.1	10000	0.02
97	0.376	0.1	10000	0.02
98	0.3825	0.1	10000	0.02
99	0.3922	0.1	10000	0.02
100	0.3976	0.1	10000	0.02
101	0.4032	0.1	10000	0
102	0.4008	0.1	10000	0
103	0.3997	0.1	10000	0
104	0.4002	0.1	10000	0
105	0.3956	0.1	10000	0
106	0.4042	0.1	10000	0
107	0.4048	0.1	10000	0
108	0.4038	0.1	10000	0
109	0.4028	0.1	10000	0
110	0.4028	0.1	10000	0
111	0.4018	0.1	10000	0
112	0.3947	0.1	10000	0
113	0.3964	0.1	10000	0
114	0.3984	0.1	10000	0
115	0.4039	0.1	10000	0
116	0.4051	0.1	10000	0
117	0.4024	0.1	10000	0
118	0.3974	0.1	10000	0
119	0.3905	0.1	10000	0
120	0.3987	0.1	10000	0
121	0.3903	0.1	10000	0
122	0.3908	0.1	10000	0
123	0.3858	0.1	10000	0
124	0.3816	0.1	10000	0
125	0.3801	0.1	10000	0
126	0.3817	0.1	10000	0
127	0.3742	0.1	10000	0
128	0.3701	0.1	10000	0
129	0.3705	0.1	10000	0
130	0.3727	0.1	10000	0
131	0.374	0.1	10000	0
132	0.3709	0.1	10000	0
133	0.373	0.1	10000	0
134	0.3669	0.1	10000	0
135	0.3601	0.1	10000	0
136	0.3582	0.1	10000	0
137	0.3635	0.1	10000	0
138	0.3631	0.1	10000	0
139	0.3566	0.1	10000	0
140	0.3539	0.1	10000	0
141	0.3539	0.1	10000	0
142	0.3557	0.1	10000	0
143	0.357	0.1	10000	0
144	0.3537	0.1	10000	0
145	0.3545	0.1	10000	0
146	0.3556	0.1	10000	0
